date,sleep_hours,rhr,hrv,active_calories,target_ratio
2025-12-02,6.107777777777779,68.0,29.754550000000002,231.66099999999997,-0.31
2025-12-03,6.107777777777779,68.0,41.496566666666666,354.86100000000005,-0.12
2025-12-04,6.107777777777779,68.0,48.5429,524.7069999999999,-0.04
2025-12-05,5.253055555555556,58.0,56.42600000000001,419.9100000000002,0.2
2025-12-06,6.107777777777779,58.0,56.42600000000001,464.469999999999,0.29
2025-12-07,6.107777777777779,64.0,37.9013,497.2939999999999,-0.18
2025-12-08,6.27388888888889,67.0,44.0391,737.243999999997,-0.16
2025-12-09,6.107777777777779,63.0,44.920950000000005,690.8129999999999,-0.09
2025-12-10,5.867222222222221,58.0,41.68372857142857,289.5639999999999,0.03
2025-12-11,8.042222222222223,63.0,39.02618,612.6060000000007,0.08
2025-12-12,4.199166666666667,53.0,52.642383333333335,718.3269999999998,-0.04
2025-12-13,6.107777777777779,63.0,52.928225,744.6450000000001,0.05
2025-12-14,8.166111111111114,64.0,36.679874999999996,385.207,0.11
2025-12-15,6.107777777777779,67.0,47.95855,343.21,0.03
2025-12-16,5.095555555555555,58.0,34.0464,263.60299999999995,-0.22
2025-12-17,6.107777777777779,67.0,42.883880000000005,152.09700000000004,-0.01
2025-12-18,6.107777777777779,73.0,42.30072499999999,423.6079999999998,-0.21
2025-12-19,7.344166666666669,59.0,60.7539,618.784,0.45
2025-12-20,7.700555555555556,64.0,48.345299999999995,587.1039999999996,0.21
2025-12-21,6.107777777777779,70.0,46.501599999999996,498.5950000000002,-0.1
2025-12-22,4.896944444444445,59.0,44.58296,489.742,-0.13
2025-12-23,6.820833333333333,54.0,50.31965,521.199,0.31
2025-12-30,8.008055555555556,62.0,44.52665,254.642,0.32
2025-12-31,6.597499999999998,58.0,40.970416666666665,395.5779999999999,0.08
2026-01-01,6.107777777777779,69.0,44.77755,630.8240000000001,-0.17
2026-01-02,6.107777777777779,59.0,51.5626,453.5190000000001,0.19
2026-01-03,8.49777777777778,52.0,53.4934,180.35000000000002,0.5
2026-01-04,6.107777777777779,67.0,55.38720000000001,220.21499999999997,0.22
2026-01-05,6.107777777777779,69.0,36.6332,217.40800000000002,-0.19
2026-01-08,2.913333333333333,67.0,51.28895,448.3159999999999,-0.36
2026-01-09,6.107777777777779,67.0,51.28895,62.60499999999999,0.19
2026-01-10,6.107777777777779,67.0,51.28895,3.0180000000000002,0.21
2026-01-13,6.107777777777779,69.0,49.77582,354.803,0.03
2026-01-14,6.107777777777779,76.0,42.35226666666667,661.6160000000002,-0.33
2026-01-15,6.107777777777779,63.0,40.71455,327.29500000000013,-0.05
2026-01-16,6.107777777777779,68.0,46.48395,122.291,0.06
2026-01-17,6.107777777777779,71.0,52.287400000000005,577.0529999999999,-0.03
2026-01-18,6.697500000000001,54.0,42.55708571428572,734.2080000000001,0.07
2026-01-19,7.693055555555556,64.0,53.466928571428575,660.2369999999997,0.29
2026-01-20,7.078888888888889,58.0,42.81378000000001,477.31199999999956,0.15
2026-01-21,6.107777777777779,66.0,42.69148,427.5250000000001,-0.09
2026-01-22,7.236111111111112,54.0,37.85402,807.7189999999997,0.02
2026-01-23,2.9374999999999996,59.0,57.363324999999996,690.0769999999998,-0.2
2026-01-24,5.286388888888889,58.0,51.481899999999996,147.50800000000004,0.2
2026-01-25,6.107777777777779,67.0,36.88666666666666,391.46899999999937,-0.21
2026-01-26,6.896111111111112,65.0,44.39106666666667,384.92599999999993,0.08
2026-01-27,6.107777777777779,68.0,45.872899999999994,518.4639999999999,-0.09
2026-01-28,6.107777777777779,59.0,54.717733333333335,457.5230000000001,0.25
2026-01-29,6.107777777777779,59.0,49.163125,455.22399999999965,0.14
2026-01-30,6.107777777777779,58.0,30.971666666666668,246.669,-0.14
2026-01-31,6.107777777777779,63.0,52.12385,467.0230000000001,0.13
2026-02-01,6.107777777777779,60.0,44.88426,320.49300000000005,0.09
2026-02-02,8.729722222222222,54.0,49.71745,449.75299999999964,0.5
2026-02-03,6.008055555555556,59.0,52.77464,653.9069999999821,0.13
2026-02-04,6.107777777777779,64.0,39.999750000000006,370.988,-0.09
2026-02-05,6.107777777777779,64.0,43.22105,649.189,-0.13
2026-02-06,7.361666666666667,63.0,50.77965999999999,374.68500000000006,0.3
2026-02-07,6.107777777777779,61.0,55.42423333333334,614.1070000000004,0.18
2026-02-08,1.833888888888889,60.0,68.68385,497.7889999999997,-0.08
2026-02-09,6.107777777777779,67.0,42.669,304.4399999999999,-0.06
2026-02-10,8.564444444444446,62.0,49.9942,858.3930000000001,0.3
2026-02-11,6.107777777777779,70.0,43.3966,424.7230000000002,-0.14
2026-02-12,7.46111111111111,58.0,82.60108,652.8100000000003,0.5
2026-02-13,6.107777777777779,67.0,42.34866666666667,299.3359999999999,-0.07
2026-02-14,6.231944444444445,72.0,29.14986,215.50599999999994,-0.35
2026-02-15,6.888333333333333,72.0,52.5706,167.78700000000006,0.21
2026-02-16,7.667777777777778,64.0,42.6962,224.26300000000006,0.22
2026-02-17,6.821666666666667,58.0,45.96832,347.0830000000001,0.23
2026-02-18,5.676111111111111,63.0,37.79005,187.075,-0.12
2026-02-19,5.941944444444445,60.0,54.08898000000001,499.81500000000005,0.19
2026-02-20,6.107777777777779,63.0,47.0656,530.79,0.01
2026-02-21,7.460833333333333,59.0,48.154379999999996,231.46200000000002,0.37
2026-02-22,6.97888888888889,61.0,53.74174285714286,367.43699999999995,0.34
2026-02-23,6.539444444444444,58.0,44.52084000000001,565.7680000000001,0.08
2026-02-24,7.991388888888888,55.0,48.362925000000004,652.559,0.36
2026-02-25,5.638333333333333,59.0,53.15804000000001,149.58000000000004,0.26
